ontolex.LexicalSense	lexicog.usageExample	lexinfo.frequency	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n25027.sg01.s01							Rey fantastico. ou Rey no nome somente		 Rey fantastico . ou Rey no nome somente 	
lexicalSense:n25028.sg01.s01							Sayr de seu siso. ou fazer grande reuolta		 Sayr de seu siso . ou fazer grande reuolta 	
lexicalSense:n25029.sg01.s01							Ho passador de besta. ou torno		 Ho passador de besta . ou torno 	
lexicalSense:n25030.sg01.s01							Ho besteiro desta besta		 Ho besteiro desta besta 	
lexicalSense:n25031.sg01.s01							A boya de cortiça		 A boya de cortiça 	
lexicalSense:n25032.sg01.s01							Ordenar algum engano contra alguem		 Ordenar algum engano contra alguem 	
lexicalSense:n25033.sg01.s01							Leuar a rasto		 Leuar a rasto 	
lexicalSense:n25034.sg01.s01							Cousa que leua arrastãdo		 Cousa que leua arrastãdo 	
lexicalSense:n25035.sg01.s01							Passar alem		 Passar alem 	
lexicalSense:n25036.sg01.s01							A passagem		 A passagem 	
lexicalSense:n25037.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n25038.sg01.s01							Cousa passadiça		 Cousa passadiça 	
lexicalSense:n25039.sg01.s01							A meada		 A meada 	
lexicalSense:n25040.sg01.s01							Ho caminho estreyto		 Ho caminho estreyto 	
lexicalSense:n25041.sg01.s01							Passar a nado		 Passar a nado 	
lexicalSense:n25042.sg01.s01							Cousa assosegada		 Cousa assosegada 	
lexicalSense:n25043.sg01.s01							Assosegar a outrem		 Assosegar a outrem 	
lexicalSense:n25044.sg01.s01							Ho assosego		 Ho assosego 	
lexicalSense:n25045.sg01.s01							No mâr manso. quem quer pode ser mestre		 No mâr manso . quem quer pode ser mestre 	
lexicalSense:n25046.sg01.s01							Trabalhas de balde		 Trabalhas de balde 	
lexicalSense:n25047.sg01.s01							Alem		 Alem 	
lexicalSense:n25048.sg01.s01							Ho concerto dos que andam em demanda		 Ho concerto dos que andam em demanda 	
lexicalSense:n25049.sg01.s01							Passar de banda a banda		 Passar de banda a banda 	
lexicalSense:n25050.sg01.s01							Sobir alem		 Sobir alem 	
lexicalSense:n25051.sg01.s01							Tresladar		 Tresladar 	
lexicalSense:n25052.sg01.s01							Ho tresladar		 Ho tresladar 	
lexicalSense:n25053.sg01.s01							Passar de corrida		 Passar de corrida 	
lexicalSense:n25054.sg01.s01							Aquella corrida		 Aquella corrida 	
lexicalSense:n25055.sg01.s01							Passar alem		 Passar alem 	
lexicalSense:n25056.sg01.s01							De passada		 De passada 	
lexicalSense:n25057.sg01.s01							A janela de genelosia		 A janela de genelosia 	
lexicalSense:n25058.sg01.s01							Passar		 Passar 	
lexicalSense:n25059.sg01.s01							Tresladar		 Tresladar 	
lexicalSense:n25060.sg01.s01							Pregar		 Pregar 	
lexicalSense:n25061.sg01.s01							Tresfigurar		 Tresfigurar 	
lexicalSense:n25062.sg01.s01							A tresfiguração		 A tresfiguração 	
lexicalSense:n25063.sg01.s01							Cousa tresformada		 Cousa tresformada 	
lexicalSense:n25064.sg01.s01							A tresformação		 A tresformação 	
lexicalSense:n25065.sg01.s01							Furar		 Furar 	
lexicalSense:n25066.sg01.s01							Passar ho mâr		 Passar ho mâr 	
lexicalSense:n25067.sg01.s01							Ho passar ho mâr		 Ho passar ho mâr 	
lexicalSense:n25068.sg01.s01							Ho tornadizo. ou fugitiuo		 Ho tornadizo . ou fugitiuo 	
lexicalSense:n25069.sg01.s01							Fugir de hum pera outro		 Fugir de hum pera outro 	
lexicalSense:n25070.sg01.s01							Aquella fugida		 Aquella fugida 	
lexicalSense:n25071.sg01.s01							Derramar alem		 Derramar alem 	
lexicalSense:n25072.sg01.s01							A derramação		 A derramação 	
lexicalSense:n25073.sg01.s01							Passar alem		 Passar alem 	
lexicalSense:n25074.sg01.s01							Ho trespassamento		 Ho trespassamento 	
lexicalSense:n25075.sg01.s01							Passar. ou fazer concerto em demanda		 Passar . ou fazer concerto em demanda 	
lexicalSense:n25076.sg01.s01							Saltar alem		 Saltar alem 	
lexicalSense:n25077.sg01.s01							A passajem		 A passajem 	
lexicalSense:n25078.sg01.s01							Ho passamento		 Ho passamento 	
lexicalSense:n25079.sg01.s01							Passar a miudo		 Passar a miudo 	
lexicalSense:n25080.sg01.s01							Ho passador		 Ho passador 	
lexicalSense:n25081.sg01.s01							Cousa que passa		 Cousa que passa 	
lexicalSense:n25082.sg01.s01							A treladação		 A treladação 	
lexicalSense:n25083.sg01.s01							Cousa falsa		 Cousa falsa 	
lexicalSense:n25084.sg01.s01							Ho soldado fronteyro		 Ho soldado fronteyro 	
lexicalSense:n25085.sg01.s01							Cousa alẽ do mâr		 Cousa alẽ do mâr 	
lexicalSense:n25086.sg01.s01							Trasluzir-se		 Trasluzir - se 	
lexicalSense:n25087.sg01.s01							Passar alem		 Passar alem 	
lexicalSense:n25088.sg01.s01							Mudar-se alem cõ casa		 Mudar - se alem cõ casa 	
lexicalSense:n25089.sg01.s01							A mudança		 A mudança 	
lexicalSense:n25090.sg01.s01							Mandar alem		 Mandar alem 	
lexicalSense:n25091.sg01.s01							Ho mandar alem		 Ho mandar alem 	
lexicalSense:n25092.sg01.s01							Cousa de alem dos montes		 Cousa de alem dos montes 	
lexicalSense:n25093.sg01.s01							Passar alem nadando		 Passar alem nadando 	
lexicalSense:n25094.sg01.s01							Cousa de alem do rio pado		 Cousa de alem do rio pado 	
lexicalSense:n25095.sg01.s01							Prantar		 Prantar 	
lexicalSense:n25096.sg01.s01							Trespor		 Trespor 	
lexicalSense:n25097.sg01.s01							Ho trespor		 Ho trespor 	
lexicalSense:n25098.sg01.s01							Leuar alem		 Leuar alem 	
lexicalSense:n25099.sg01.s01							Ho leuar alem		 Ho leuar alem 	
lexicalSense:n25100.sg01.s01							Olhar alem		 Olhar alem 	
lexicalSense:n25101.sg01.s01							Picar alem		 Picar alem 	
lexicalSense:n25102.sg01.s01							A picadura		 A picadura 	
lexicalSense:n25103.sg01.s01							Ho banco da galê		 Ho banco da galê 	
lexicalSense:n25104.sg01.s01							Leuar alem		 Leuar alem 	
lexicalSense:n25105.sg01.s01							Virar alem		 Virar alem 	
lexicalSense:n25106.sg01.s01							Atrauessar		 Atrauessar 	
lexicalSense:n25107.sg01.s01							Cousa atrauessada		 Cousa atrauessada 	
lexicalSense:n25108.sg01.s01							Apartar alguem por força do que tem ordenado		 Apartar alguem por força do que tem ordenado 	
lexicalSense:n25109.sg01.s01							Soffrer a emmenda. 		 Soffrer a emmenda . 	porque era custume dar vnhada ao que parecia ser mal dito.
lexicalSense:n25110.sg01.s01							Ho mesmo. 		 Ho mesmo . 	porque com a pena âs auessas. emmẽdauam os erros.
lexicalSense:n25111.sg01.s01							Saltar alem		 Saltar alem 	
lexicalSense:n25112.sg01.s01							Coser de passada		 Coser de passada 	
lexicalSense:n25113.sg01.s01							Voar alem		 Voar alem 	
lexicalSense:n25114.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n25115.sg01.s01							Ho lagar de azeyte		 Ho lagar de azeyte 	
lexicalSense:n25116.sg01.s01							Ho cambiador		 Ho cambiador 	
lexicalSense:n25117.sg01.s01							A funda onde metem a mesa		 A funda onde metem a mesa 	
lexicalSense:n25118.sg01.s01							A rede pera tomar passaros		 A rede pera tomar passaros 	
lexicalSense:n25119.sg01.s01							Trezentos		 Trezentos 	
lexicalSense:n25120.sg01.s01							Trezentas vezes		 Trezentas vezes 	
lexicalSense:n25121.sg01.s01							Treze		 Treze 	
lexicalSense:n25122.sg01.s01							Treze em ordem		 Treze em ordem 	
lexicalSense:n25123.sg01.s01							Treze vezes		 Treze vezes 	
lexicalSense:n25124.sg01.s01							Tremer		 Tremer 	
lexicalSense:n25125.sg01.s01							Ho tremor		 Ho tremor 	
lexicalSense:n25126.sg01.s01							Cousa tremiligosa		 Cousa tremiligosa 	
lexicalSense:n25127.sg01.s01							Cousa que muyto treme		 Cousa que muyto treme 	
lexicalSense:n25128.sg01.s01							Temer de medo		 Temer de medo 	
lexicalSense:n25129.sg01.s01							Ho medo. ou tremor		 Ho medo . ou tremor 	
lexicalSense:n25130.sg01.s01							Cousa muyto temerosa		 Cousa muyto temerosa 	
lexicalSense:n25131.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n25132.sg01.s01							A medo		 A medo 	
lexicalSense:n25133.sg01.s01										Isto dizemos por zombar a quem he muyto comprido de corpo. chamando-lhe longarela de treze couados.
lexicalSense:n25134.sg01.s01										Dir-se-ha dos que antemão tremem. Tomou-se do soldado cobardo. que treme antes de ouuir as trombetas.
lexicalSense:n25135.sg01.s01										Isto se dirà do que he muyto medroso. porque ho galo. & assi as outras aues de natureza sam temerosas.
lexicalSense:n25136.sg01.s01							Moeda de treze reaes		 Moeda de treze reaes 	
lexicalSense:n25137.sg01.s01							Tres		 Tres 	
lexicalSense:n25138.sg01.s01							Homem de pouca valia		 Homem de pouca valia 	
lexicalSense:n25139.sg01.s01							Cousa de tres cãtos		 Cousa de tres cãtos 	
lexicalSense:n25140.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n25141.sg01.s01							A molher que tem parte com outra		 A molher que tem parte com outra 	
lexicalSense:n25142.sg01.s01							Ho abrolho. erua		 Ho abrolho . erua 	
lexicalSense:n25143.sg01.s01							Tres gẽtes começadas em c. sam tidas por malissimas. Cretenses. Capadoces. Cilices. 		 Tres gẽtes começadas em c . sam tidas por malissimas . Cretenses . Capadoces . Cilices . 	
lexicalSense:n25143.sg01.s02							Tambem disse sancto Augustinho. que se pode tomar por tres Romanos pessimos. s. Cornelio Cila. Cornelio Cima. Cornelio Lentulo		 Tambem disse sancto Augustinho . que se pode tomar por tres Romanos pessimos . s . Cornelio Cila . Cornelio Cima . Cornelio Lentulo 	
lexicalSense:n25144.sg01.s01							Tres males hay no mũdo. s. ho fogo. & ho mar & a molher		 Tres males hay no mũdo . s . ho fogo . & ho mar & a molher 	
lexicalSense:n25145.sg01.s01										Dir-se-ha dos que falam desauergonhadamente. porem cõ seu grande mal. porque os condenados a morte tinham licẽça de dizer tres cousas a sua vontade. & logo erã leuados a padecer.
lexicalSense:n25146.sg01.s01							Tres cousas hay muito saudosas. s. comer sem se fartar. nã refusar ho trabalho. conseruar a semẽte da natureza		 Tres cousas hay muito saudosas . s . comer sem se fartar . nã refusar ho trabalho . conseruar a semẽte da natureza 	
lexicalSense:n25147.sg01.s01							Vés tres cousas sendo duas. 		 Vés tres cousas sendo duas . 	Dir-se-ha dos que. ou por uelhos. ou por bebados. ou por outra tacha dos olhos se cegam. parecendo-lhes hũa candea duas. hum sol dous.
lexicalSense:n25148.sg01.s01							Ho abrolho de ferro		 Ho abrolho de ferro 	
lexicalSense:n25149.sg01.s01							Ho trilho pera debulhar		 Ho trilho pera debulhar 	
lexicalSense:n25150.sg01.s01							Atribular. in sacris literis tantum		 Atribular . in sacris literis tantum 	
lexicalSense:n25151.sg01.s01							A linhajem ou quadrilha		 A linhajem ou quadrilha 	
lexicalSense:n25152.sg01.s01							Cousa de quadrilha		 Cousa de quadrilha 	
lexicalSense:n25153.sg01.s01							A cadeyra do julgador		 A cadeyra do julgador 	
lexicalSense:n25154.sg01.s01							Ho jurador. ou procurador dos mesteres		 Ho jurador . ou procurador dos mesteres 	
lexicalSense:n25155.sg01.s01							Ho officio de tribuno		 Ho officio de tribuno 	
lexicalSense:n25156.sg01.s01							Ho capitão dos soldados		 Ho capitão dos soldados 	
lexicalSense:n25157.sg01.s01							Ho officio de capitão		 Ho officio de capitão 	
lexicalSense:n25158.sg01.s01							O que ja foy tribuno		 O que ja foy tribuno 	
lexicalSense:n25159.sg01.s01							Dar		 Dar 	
lexicalSense:n25160.sg01.s01							Têr alguẽ em grande conta		 Têr alguẽ em grande conta 	
lexicalSense:n25161.sg01.s01							Ho tributo. ou peyta		 Ho tributo . ou peyta 	
lexicalSense:n25162.sg01.s01							Ho tributario		 Ho tributario 	
lexicalSense:n25163.sg01.s01							De quadrilha em quadrilha		 De quadrilha em quadrilha 	
lexicalSense:n25164.sg01.s01							Em tres bocados. s. em tres palauras. 		 Em tres bocados . s . em tres palauras . 	Dir-se-ha quando dissermos. que hũa cousa se fez breuemẽte. Tomou do que se come asinha.
lexicalSense:n25165.sg01.s01							Deita em conta doze minas por tres que gastou. 		 Deita em conta doze minas por tres que gastou . 	Dir-se-ha do que he amigo de interesse. que por trinta cruzados que gastou. espera que lhe tornem cento & vinte. como quẽ dà ho barrete pera que receba hũa capa.
lexicalSense:n25166.sg01.s01							Em poucas palauras		 Em poucas palauras 	
lexicalSense:n25167.sg01.s01							Leuas mais do que se pagou por tributo. 		 Leuas mais do que se pagou por tributo . 	Dir-se-ha dos que dos maleficios leuam proueyto. como sam os que arrecadam os tributos del Rey. que val mais o que arrecadam pera si. que o proprio tributo.
lexicalSense:n25168.sg01.s01										Dir-se-ha do que he tam amigo de dinheyro. que até dos defuntos quer arrecadar tributos.
lexicalSense:n25169.sg01.s01							Ho estrouilho. ou fio que se pega nos pés dos frangãos. que os faz andar peados		 Ho estrouilho . ou fio que se pega nos pés dos frangãos . que os faz andar peados 	
lexicalSense:n25170.sg01.s01										Se dirã as cousas vaãs & de nenhum valor & preço.
lexicalSense:n25171.sg01.s01							Falar vaydades		 Falar vaydades 	
lexicalSense:n25172.sg01.s01							Cousa de trinta. ou de trinta em trinta		 Cousa de trinta . ou de trinta em trinta 	
lexicalSense:n25173.sg01.s01							Cousa de tres cabeças		 Cousa de tres cabeças 	
lexicalSense:n25174.sg01.s01										Se chamará todo homem muyto duuidoso. ou muyto sagaz & refalsado. porque a imagẽ de Mercurio se pintaua com tres cabeças no meyo das estradas. & em cada cabeça estaua escrito onde hia ter aquelle caminho.
lexicalSense:n25175.sg01.s01							Moeda de seys vintẽs		 Moeda de seys vintẽs 	
lexicalSense:n25176.sg01.s01							A sarda. peyxe		 A sarda . peyxe 	
lexicalSense:n25177.sg01.s01							Trinta vezes		 Trinta vezes 	
lexicalSense:n25178.sg01.s01							Tres contos		 Tres contos 	
lexicalSense:n25179.sg01.s01							A camara. ou mesa de tres ordens		 A camara . ou mesa de tres ordens 	
lexicalSense:n25180.sg01.s01							Cousa de tres mesas		 Cousa de tres mesas 	
lexicalSense:n25181.sg01.s01							Cousa de tres córes		 Cousa de tres córes 	
lexicalSense:n25182.sg01.s01							Cousa de tres pontas		 Cousa de tres pontas 	
lexicalSense:n25183.sg01.s01							A ostra muyto grande		 A ostra muyto grande 	
lexicalSense:n25184.sg01.s01							Cousa de tres dentes. ou de tres pontas		 Cousa de tres dentes . ou de tres pontas 	
lexicalSense:n25185.sg01.s01							O que traz ho tal cetro		 O que traz ho tal cetro 	
lexicalSense:n25186.sg01.s01							Tres dramas. que valem seys vintẽs		 Tres dramas . que valem seys vintẽs 	
lexicalSense:n25187.sg01.s01							Tres dias		 Tres dias 	
lexicalSense:n25188.sg01.s01							Cousa de tres dias		 Cousa de tres dias 	
lexicalSense:n25189.sg01.s01							Tres annos		 Tres annos 	
lexicalSense:n25190.sg01.s01							Cousa de tres annos		 Cousa de tres annos 	
lexicalSense:n25191.sg01.s01							Quatro onças		 Quatro onças 	
lexicalSense:n25192.sg01.s01							Cousa de quatro onças		 Cousa de quatro onças 	
lexicalSense:n25193.sg01.s01							Ho capitão da galê		 Ho capitão da galê 	
lexicalSense:n25194.sg01.s01							Espaço de tres annos		 Espaço de tres annos 	
lexicalSense:n25195.sg01.s01							Cousa de tres annos		 Cousa de tres annos 	
lexicalSense:n25196.sg01.s01							As festas de Baco que se faziam de tres em tres annos		 As festas de Baco que se faziam de tres em tres annos 	
lexicalSense:n25197.sg01.s01							De tres. ou em tres maneyras		 De tres . ou em tres maneyras 	
lexicalSense:n25198.sg01.s01							Cousa de tres gargantas		 Cousa de tres gargantas 	
lexicalSense:n25199.sg01.s01							Ho passador de besta		 Ho passador de besta 	
lexicalSense:n25200.sg01.s01							Cousa fendida em tres partes		 Cousa fendida em tres partes 	
lexicalSense:n25201.sg01.s01							Ho treuo. erua		 Ho treuo . erua 	
lexicalSense:n25202.sg01.s01							Cousa de treuo		 Cousa de treuo 	
lexicalSense:n25203.sg01.s01							Cousa de tres formas		 Cousa de tres formas 	
lexicalSense:n25204.sg01.s01							Ho ladrão famoso		 Ho ladrão famoso 	
lexicalSense:n25205.sg01.s01							Cousa de tres forcas		 Cousa de tres forcas 	
lexicalSense:n25206.sg01.s01							Ho ladrão de tres forcas		 Ho ladrão de tres forcas 	
lexicalSense:n25207.sg01.s01							Ho carreteyro de tres caualos		 Ho carreteyro de tres caualos 	
lexicalSense:n25208.sg01.s01							Ho carro de tres caualos		 Ho carro de tres caualos 	
lexicalSense:n25209.sg01.s01							Os tres gemeos		 Os tres gemeos 	
lexicalSense:n25210.sg01.s01							Trinta		 Trinta 	
lexicalSense:n25211.sg01.s01							Cousa de trinta		 Cousa de trinta 	
lexicalSense:n25212.sg01.s01							Moeda de seys vintẽs		 Moeda de seys vintẽs 	
lexicalSense:n25213.sg01.s01							Ho barbo do már. peyxe		 Ho barbo do már . peyxe 	
lexicalSense:n25214.sg01.s01							A rala. ou gral		 A rala . ou gral 	
lexicalSense:n25215.sg01.s01							A rala. ou pela de tres peças		 A rala . ou pela de tres peças 	
lexicalSense:n25216.sg01.s01							Cousa de rala. ou pela		 Cousa de rala . ou pela 	
lexicalSense:n25217.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n25218.sg01.s01							Cousa de tres jogos		 Cousa de tres jogos 	
lexicalSense:n25219.sg01.s01							Cousa de tres lados		 Cousa de tres lados 	
lexicalSense:n25220.sg01.s01							Cousa que pesa tres liuras		 Cousa que pesa tres liuras 	
lexicalSense:n25221.sg01.s01							Cousa que sabe. ou tem tres lingoas		 Cousa que sabe . ou tem tres lingoas 	
lexicalSense:n25222.sg01.s01							Cousa de tres licos		 Cousa de tres licos 	
lexicalSense:n25223.sg01.s01							A malha trasdobrada		 A malha trasdobrada 	
lexicalSense:n25224.sg01.s01							A idade de tres annos		 A idade de tres annos 	
lexicalSense:n25225.sg01.s01							Cousa muyto grande		 Cousa muyto grande 	
lexicalSense:n25226.sg01.s01							Trigo tremes		 Trigo tremes 	
lexicalSense:n25227.sg01.s01							Cousa de tres medidas		 Cousa de tres medidas 	
lexicalSense:n25228.sg01.s01							O verso de tres pés iambos & espondeos		 O verso de tres pés iambos & espondeos 	
lexicalSense:n25229.sg01.s01							Medida de tres alqueyres		 Medida de tres alqueyres 	
lexicalSense:n25230.sg01.s01							Cousa de tres annos		 Cousa de tres annos 	
lexicalSense:n25231.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n25232.sg01.s01							Ho tresneto		 Ho tresneto 	
lexicalSense:n25233.sg01.s01							A tresneta		 A tresneta 	
lexicalSense:n25234.sg01.s01							A Trindade		 A Trindade 	
lexicalSense:n25235.sg01.s01							Tres noytes		 Tres noytes 	
lexicalSense:n25236.sg01.s01							Cousa de tres noites		 Cousa de tres noites 	
lexicalSense:n25237.sg01.s01							Cousa que tem tres noos		 Cousa que tem tres noos 	
lexicalSense:n25238.sg01.s01							Cantar a andorinha		 Cantar a andorinha 	
lexicalSense:n25239.sg01.s01							Hũa comedia de Plauto		 Hũa comedia de Plauto 	
lexicalSense:n25240.sg01.s01							Cousa tresdobrada		 Cousa tresdobrada 	
lexicalSense:n25241.sg01.s01							Tres noue dias		 Tres noue dias 	
lexicalSense:n25242.sg01.s01							Hum vintem		 Hum vintem 	
lexicalSense:n25243.sg01.s01							Cousa de pouca valia. como he hum vintem		 Cousa de pouca valia . como he hum vintem 	
lexicalSense:n25244.sg01.s01										Isto se diraa de todo homem de pouco preço. que hũ vintem não val.
lexicalSense:n25245.sg01.s01							Cousa partida ẽ tres partes		 Cousa partida ẽ tres partes 	
lexicalSense:n25246.sg01.s01							Em tres partes		 Em tres partes 	
lexicalSense:n25247.sg01.s01							Cousa de tres peytos		 Cousa de tres peytos 	
lexicalSense:n25248.sg01.s01							Cousa de tres pês		 Cousa de tres pês 	
lexicalSense:n25249.sg01.s01							Cousa de tres pees em medida		 Cousa de tres pees em medida 	
lexicalSense:n25250.sg01.s01							Hum genero de bicho que roe a madeyra		 Hum genero de bicho que roe a madeyra 	
lexicalSense:n25251.sg01.s01							Ho treuo. erua		 Ho treuo . erua 	
lexicalSense:n25252.sg01.s01							Cousa tresdobrada		 Cousa tresdobrada 	
lexicalSense:n25253.sg01.s01							Ho tresdobro		 Ho tresdobro 	
lexicalSense:n25254.sg01.s01							Os memoriaes pera escreuer		 Os memoriaes pera escreuer 	
lexicalSense:n25255.sg01.s01							A tresdobradura		 A tresdobradura 	
lexicalSense:n25256.sg01.s01							Tresdobradamẽte		 Tresdobradamẽte 	
lexicalSense:n25257.sg01.s01							Tresdobrar		 Tresdobrar 	
lexicalSense:n25258.sg01.s01							A tresdobradura		 A tresdobradura 	
lexicalSense:n25259.sg01.s01							A parede de tres tijolos em largo		 A parede de tres tijolos em largo 	
lexicalSense:n25260.sg01.s01							Dançar. ou baylar		 Dançar . ou baylar 	
lexicalSense:n25261.sg01.s01							A dança. ou baylo		 A dança . ou baylo 	
lexicalSense:n25262.sg01.s01							A mesa de tres pês		 A mesa de tres pês 	
lexicalSense:n25263.sg01.s01							Cousa que tem tres cantos		 Cousa que tem tres cantos 	
lexicalSense:n25264.sg01.s01							A galé		 A galé 	
lexicalSense:n25265.sg01.s01							Tres idades		 Tres idades 	
lexicalSense:n25266.sg01.s01							Cousa de tres idades		 Cousa de tres idades 	
lexicalSense:n25267.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n25268.sg01.s01							Ho terceiro sobrado. ou entresolho		 Ho terceiro sobrado . ou entresolho 	
lexicalSense:n25269.sg01.s01							Cousa triste. ou graue. ou carrancuda		 Cousa triste . ou graue . ou carrancuda 	
lexicalSense:n25270.sg01.s01							A tristeza. ou grauidade		 A tristeza . ou grauidade 	
lexicalSense:n25271.sg01.s01							Cousa triste. ou que dà tristeza		 Cousa triste . ou que dà tristeza 	
lexicalSense:n25272.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n25273.sg01.s01							Ho francelho		 Ho francelho 	
lexicalSense:n25274.sg01.s01							Cousa fendida em tres partes		 Cousa fendida em tres partes 	
lexicalSense:n25275.sg01.s01										Se dirá ho thitha th. que era sinal de condenação. & ho t de absoluição.
lexicalSense:n25276.sg01.s01							A quẽtura. ou febre quartaã		 A quẽtura . ou febre quartaã 	
lexicalSense:n25277.sg01.s01							Ho quarto auô		 Ho quarto auô 	
lexicalSense:n25278.sg01.s01							A quarta auo		 A quarta auo 	
lexicalSense:n25279.sg01.s01							Ho trigo		 Ho trigo 	
lexicalSense:n25280.sg01.s01							Ho trigo tremes		 Ho trigo tremes 	
lexicalSense:n25281.sg01.s01							Ho trigo ruiuo		 Ho trigo ruiuo 	
lexicalSense:n25282.sg01.s01							Ho trigo candial		 Ho trigo candial 	
lexicalSense:n25283.sg01.s01							Cousa de trigo		 Cousa de trigo 	
lexicalSense:n25284.sg01.s01							Cousa trilhada		 Cousa trilhada 	
lexicalSense:n25285.sg01.s01							O que moe côres		 O que moe côres 	
lexicalSense:n25286.sg01.s01							Ho tempo do debulho		 Ho tempo do debulho 	
lexicalSense:n25287.sg01.s01							Debulhar		 Debulhar 	
lexicalSense:n25288.sg01.s01							Ho grãde feyticeyro		 Ho grãde feyticeyro 	
lexicalSense:n25289.sg01.s01							A encruzilhada		 A encruzilhada 	
lexicalSense:n25290.sg01.s01							Cousa de encruzilhada. ou corriqueyra		 Cousa de encruzilhada . ou corriqueyra 	
lexicalSense:n25291.sg01.s01							De encruzilhada em encruzilhada		 De encruzilhada em encruzilhada 	
lexicalSense:n25292.sg01.s01							Ho triunfo. ou vẽcimẽto		 Ho triunfo . ou vẽcimẽto 	
lexicalSense:n25293.sg01.s01							Triunfar. ou vencer		 Triunfar . ou vencer 	
lexicalSense:n25294.sg01.s01							Ho vencimento		 Ho vencimento 	
lexicalSense:n25295.sg01.s01							Ho vencedor		 Ho vencedor 	
lexicalSense:n25296.sg01.s01							Cousa de triunfo		 Cousa de triunfo 	
lexicalSense:n25297.sg01.s01							Tres onças		 Tres onças 	
lexicalSense:n25298.sg01.s01							Ho alcayde. ou hũ dos tres		 Ho alcayde . ou hũ dos tres 	
lexicalSense:n25299.sg01.s01							A dignidade dos tres. ou alcaydaria		 A dignidade dos tres . ou alcaydaria 	
lexicalSense:n25300.sg01.s01							Cousa de alcayde. ou destes tres		 Cousa de alcayde . ou destes tres 	
lexicalSense:n25301.sg01.s01										Se dirâ ho fidalgo. porque tinham tres nomes. como Quinto. Valerio. Flacco. Tãbem se dirâ o ladrão. porque fur. tem tres letras. Donde Plauto disse fur trifurcifer. s. ladrão & grandissimo ladrão.
lexicalSense:n25302.sg01.s01										Isto se dirâ quando se espera fome. auendo ahi falta de mantimentos que diziam os soldados. não temos que comer senão pera tres dias.
lexicalSense:n25303.sg01.s01							Ho grillo		 Ho grillo 	
lexicalSense:n25304.sg01.s01							Ho pião de iugar		 Ho pião de iugar 	
lexicalSense:n25305.sg01.s01							Ho mesmo pião piqueno		 Ho mesmo pião piqueno 	
lexicalSense:n25306.sg01.s01							Ho carrinho. ou polê. ou engenho		 Ho carrinho . ou polê . ou engenho 	
lexicalSense:n25307.sg01.s01							Hũa maneyra de banco		 Hũa maneyra de banco 	
lexicalSense:n25308.sg01.s01										Dir-se-ha dos mudaueis. & incõstantes. como he o pião.
lexicalSense:n25309.sg01.s01							Hum genero de mirra		 Hum genero de mirra 	
lexicalSense:n25310.sg01.s01							A escaramuça		 A escaramuça 	
lexicalSense:n25311.sg01.s01							A vitoria da guerra		 A vitoria da guerra 	
lexicalSense:n25312.sg01.s01							Ho vento do mâr		 Ho vento do mâr 	
lexicalSense:n25313.sg01.s01							A corsa. ou premio da criaçã		 A corsa . ou premio da criaçã 	
lexicalSense:n25314.sg01.s01							Vitoria sem trabalho		 Vitoria sem trabalho 	
lexicalSense:n25316.sg01.s01							Ho enxarope pera vomitar		 Ho enxarope pera vomitar 	
lexicalSense:n25317.sg01.s01							Cousa virada. ou conuersiua		 Cousa virada . ou conuersiua 	
lexicalSense:n25318.sg01.s01							Ho modo. ou custume. ou atadura do remo		 Ho modo . ou custume . ou atadura do remo 	
lexicalSense:n25319.sg01.s01							A pratica que trata de custumes		 A pratica que trata de custumes 	
lexicalSense:n25320.sg01.s01							A figura de grammatica. ou Rhetorica		 A figura de grammatica . ou Rhetorica 	
lexicalSense:n25321.sg01.s01						vua edulis	A vua para comer	 vua edulis 	 A vua para comer 	
lexicalSense:n25322.sg01.s01							Ho alguidar		 Ho alguidar 	
lexicalSense:n25323.sg01.s01							Matar despedaçando		 Matar despedaçando 	
lexicalSense:n25324.sg01.s01							Ho despedaçamento		 Ho despedaçamento 	
lexicalSense:n25325.sg01.s01							A truyta. peyxe		 A truyta . peyxe 	
lexicalSense:n25326.sg01.s01							Cousa terriuel & cruel		 Cousa terriuel & cruel 	
lexicalSense:n25327.sg01.s01							Empuxar		 Empuxar 	
lexicalSense:n25328.sg01.s01							Ho vaso de agoa âs mãos		 Ho vaso de agoa âs mãos 	
lexicalSense:n25329.sg01.s01							Ho corpo sem cabeça		 Ho corpo sem cabeça 	
lexicalSense:n25330.sg01.s01							Ho pê da aruore		 Ho pê da aruore 	
lexicalSense:n25331.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n25332.sg01.s01							Cousa descabeçada. ou cortada		 Cousa descabeçada . ou cortada 	
lexicalSense:n25333.sg01.s01							Descabeçar		 Descabeçar 	
