lexicog.UsageExample	lexinfo.note	rdfs.label	rdfs.value.la	rdfs.value.pt	skos.note
usageExample:n2034.sg01.s99.u01		malè credere	 Malè credere 		i, non tutò.
usageExample:n2039.sg01.s99.u01		maleficae artes	 Maleficae artes 	 feiticerias 	
usageExample:n2040.sg01.s01.u01		res tibi maleuertit hodie	 Res tibi malevertit hodie 	 mal vos corre hoje a fortuna 	
usageExample:n2047.sg10.s99.u01		res mancipii, cousas	 Res mancipij , cousas 	 que estaõ em nosso dominio , e podemos alienar 	
usageExample:n2047.sg10.s99.u02		mancipio dare	 Mancipio dare 	 vender alguma cousa fazendo boa a venda , ou entregar o dominio a alguem 	
usageExample:n2047.sg10.s99.u03		mancipio accipere	 mancipio accipere 		i, eâdem lege emere.
usageExample:n2049.sg01.s99.u01		honores alicui mandare	 Honores alicui mandare 		i, tribuere.
usageExample:n2051.sg01.s01.u01		donec mihi uita manebit	 Donec mihi vita manebit 		
usageExample:n2051.sg01.s02.u02		poena, uel periculum te manet	 Poena , vel periculum te manet 		
usageExample:n2051.sg01.s99.u01		manere promissis	 Manere promissis 	 estar pelo promettido 	
usageExample:n2054.sg01.s01.u01		sudor manat corpore, uel corpus sudore	 Sudor manat corpore , vel corpus sudore 		
usageExample:n2054.sg01.s01.u02		culter manat cruore	 culter manat cruore 		
usageExample:n2054.sg01.s01.u03		aqua manat è, uel de, uel ex fonte	 aqua manat è , vel de , vel ex fonte 		
usageExample:n2054.sg01.s01.u04		arbor manat picem	 arbor manat picem 		
usageExample:n2054.sg01.s01.u05		mihi manant gaudio lachrymae	 Mihi manant gaudio lachrymae 		
usageExample:n2058.sg01.s02.u01		epistola, uel litterae mea manu	 Epistola , vel litterae mea manu 	 carta de minha letra 	
usageExample:n2058.sg01.s02.u02		res per manus tradita	 Res per manus tradita 	 cousa , que naõ está escrita , e so se tem por tradiçaõ 	
usageExample:n2058.sg01.s99.u01		manu aliquem docere	 Manu aliquem docere 		i, apertè.
usageExample:n2064.sg01.s99.u01		marte nostro	 Marte nostro 		id est, nostro ingenio, nostris viribus.
usageExample:n2070.sg01.s01.u01		armis, uel ad arma maturus	 Armis , vel ad arma maturus 		
usageExample:n2070.sg01.s01.u02		homo aeuo, uel aeui maturus	 Homo aevo , vel aevi maturus 		
usageExample:n2073.sg10.s01.u01		capillos, uel femina medicare	 Capillos , vel femina medicare 		
usageExample:n2076.sg01.s01.u01		domus omnibus uentis media	 Domus omnibus ventis media 		
usageExample:n2076.sg01.s01.u02		pacis eras, mediusque belli	 Pacis eras , mediusque belli 		
usageExample:n2076.sg01.s99.u01		in medio afferre, consulere	 In medio afferre , consulere 		i, in commune.
usageExample:n2108.sg01.s01.u01		metiri agrum, frumentum, stipendium	 Metiri agrum , frumentum , stipendium 		
usageExample:n2108.sg01.s02.u01		omnia tuis commodis, non honestate metiris	 Omnia tuis commodis , non honestate metiris 	 tudo estimais , avaliais , ou mediz por vossos , etc 	
usageExample:n2110.sg01.s01.u01		metuo te	 Metuo te 		
usageExample:n2110.sg01.s01.u02		metuo insidias à te	 Metuo insidias à te 		
usageExample:n2110.sg01.s02.u01		metuo tibi	 Metuo tibi 		
usageExample:n2110.sg01.s02.u02		metuo tibi calamitatem	 Metuo tibi calamitatem 		
usageExample:n2110.sg01.s99.u01		metuo de uita	 Metuo de vita 		id est, mori.
usageExample:n2113.sg01.s99.u01		micare cum aliquo	 Micare cum aliquo 	 jogar o malheiraõ 	
usageExample:n2115.sg01.s99.u01		domi, militiaeque	 Domi , militiaeque 	 na paz , e na guerra 	
usageExample:n2117.sg01.s01.u01		mille anni	 Mille anni 		
usageExample:n2117.sg01.s02.u01		mille annorum	 Mille annorum 		
usageExample:n2120.sg10.s01.u01		minimè gentium	 Minimè gentium 	 de nenhum modo 	
usageExample:n2122.sg10.s99.u01		scopuli in coelum minantur	 Scopuli in coelum minantur 		i, eminent.
usageExample:n2123.sg01.s99.u01		minoris	 Minoris 	 em menos , ou por menos 	
usageExample:n2128.sg01.s01.u01		aquam lacte, & uino miscere, uel uinum aquâ	 Aquam lacte , & vino miscere , vel vinum aquâ 		
usageExample:n2128.sg01.s99.u01		mare, uel terram caelo miscere	 Mare , vel terram caelo miscere 	 revolver , ou perturbar tudo 	
usageExample:n2131.sg01.s01.u01		miserescat te inopis	 Miserescat te inopis 		
usageExample:n2131.sg01.s01.u02		deum tui misereat	 Deum tui misereat 		
usageExample:n2136.sg01.s02.u01		mitte timorem	 Mitte timorem 	 ponde de parte o medo 	
usageExample:n2136.sg01.s02.u02		mitte scrutari	 Mitte scrutari 	 deixai , ou naõ queirais esquadrinhar 	
usageExample:n2136.sg01.s03.u01		mitto caetera	 Mitto caetera 		
usageExample:n2136.sg01.s99.u01		missum aliquid facere	 Missum aliquid facere 	 largar , deixar ir , ou abrir maõ de alguma cousa 	
usageExample:n2136.sg01.s99.u02		seruum manu mittere	 Servum manu mittere 	 dar liberdade 	
usageExample:n2139.sg01.s01.u01		modicus cultu, uel in cultu	 Modicus cultu , vel in cultu 		
usageExample:n2139.sg01.s01.u02		modicus uoti	 Modicus voti 		
usageExample:n2141.sg01.s03.u01		modò ait, modò negat	 modò ait , modò negat 		
usageExample:n2160.sg01.s99.u01		more	 More 	 á maneira 	
usageExample:n2171.sg01.s99.u01		multus in aliquo, uel ad aliquid	 Multus in aliquo , vel ad aliquid 		i, continuus.
usageExample:n2171.sg01.s99.u02		multa nox	 Multa nox 	 alta noite 	
usageExample:n2173.sg01.s01.u01		ianus saturnum regni societate munerauit, uel muneratus	 Janus Saturnum regni societate muneravit , vel muneratus 		
usageExample:n2173.sg01.s01.u02		saepius cum aliquid alicui	 Saepius cum Aliquid alicui 		
usageExample:n2197.sg20.s99.u01		natalibus restituere	 Natalibus restituere 		i, nobilitare.
usageExample:n2201.sg01.s02.u01		uiginti annos natus	 Viginti annos natus 	 tinha 20 . annos 	
usageExample:n2201.sg01.s02.u02		mortuus est annos ad octoginta natus	 Mortuus est annos ad octoginta natus 	 morreo tendo já quasi , ou perto de 80 . annos 	
usageExample:n2201.sg01.s99.u01		pro re nata	 Pro re nata 		i, pro praesenti rerum statu.
usageExample:n2202.sg01.s99.u01		nauis praetoria capitania	 Navis Praetoria capitania 		
usageExample:n2206.sg01.s02.u01		ne nunc quidem	 Ne nunc quidem 	 nem ainda agora 	
usageExample:n2206.sg01.s99.u01		ne plura. ne multa, uel ne multis	 Ne plura . Ne multa , vel Ne multis 		subaudito dicam, vel aliud simile.
usageExample:n2208.sg01.s99.u01		necne?	 Necne ? 	 Ou naõ ? 	
usageExample:n2213.sg01.s99.u01		dolum alicui nectere	 dolum alicui nectere 	 enganar 	
usageExample:n2219.sg01.s99.u01		dies nefasti	 Dies nefasti 	 em que naõ ha audiencia 	
usageExample:n2246.sg01.s99.u01		nihil pensi habere	 Nihil pensi habere 	 naõ se lhe dar de nada 	
usageExample:n2247.sg01.s99.u01		de nihilo	 De nihilo 	 Sem causa 	
usageExample:n2249.sg10.s01.u01		sermonis, uel in sermone nimius	 Sermonis , vel in sermone nimius 		
usageExample:n2258.sg01.s99.u01		nonnihilo	 Nonnihilo 	 em alguma cousa 	
usageExample:n2267.sg01.s01.u01		noui hominem facie; uel noui hominis faciem	 Novi hominem facie ; vel Novi hominis faciem 	 conheço - o de rosto 	
usageExample:n2269.sg01.s99.u01		homines noui	 Homines novi 	 os que so por si saõ nobres , e naõ por sangue 	
usageExample:n2271.sg01.s02.u01		noxius coniurationis	 Noxius conjurationis 		
usageExample:n2272.sg01.s99.u01		in familiam clarissimam nupsit mulier	 In familiam clarissimam nupsit mulier 	 casou em casa ilustre 	
usageExample:n2272.sg01.s99.u02		uites nubunt arboribus, uel arbores uitibus	 Vites nubunt arboribus , vel arbores vitibus 		id est, conjunguntur, vel implicantur.
usageExample:n2274.sg01.s99.u01		nudare gladium	 Nudare gladium 	 desembainhar 	
usageExample:n2274.sg01.s99.u02		nudare scelus	 Nudare scelus 	 descobrir 	
usageExample:n2278.sg01.s99.u01		nummus adulterinus	 Nummus adulterinus 	 moeda falsa 	
usageExample:n2283.sg01.s99.u01		nusquam gentium	 Nusquam gentium 	 em nenhum lugar 	
usageExample:n2284.sg01.s99.u01		relinquere nuces	 Relinquere nuces 	 deixar meninices 	
usageExample:n2287.sg01.s02.u01		hominem perditum!	 Hominem perditum ! 		
usageExample:n2288.sg01.s02.u01		ob oculos	 Ob oculos 		
usageExample:n2289.sg01.s01.u01		urbi, uel urbem obambulare, uel in foro	 Urbi , vel urbem obambulare , vel in foro 		
usageExample:n2290.sg01.s01.u01		pessulum foribus, uel fores pessulo obdere	 Pessulum foribus , vel fores pessulo obdere 	 com aldraba 	
usageExample:n2291.sg01.s02.u01		rebus clarissimis tenebras obducere	 Rebus clarissimis tenebras obducere 		
usageExample:n2291.sg01.s99.u01		callum obducere dolori	 Callum obducere dolori 	 fazer callo na dor , sentindo - a menos 	
usageExample:n2291.sg01.s99.u02		frontem obducere	 Frontem obducere 	 fazer rugas na testa 	
usageExample:n2293.sg01.s99.u01		diem, uel mortem, uel morte obire, morrer	 Diem , vel mortem , vel morte obire , morrer 		in qua significatione etiam ponitur sine casu
usageExample:n2293.sg01.s99.u02		obire munus	 Obire munus 	 executar o officio 	
usageExample:n2293.sg01.s99.u03		obire ualimoniam	 Obire valimoniam 	 apparecer em juizo no dia determinado da citaçaõ 	
usageExample:n2295.sg01.s01.u01		oculis oberrat imago periculi	 Oculis oberrat imago periculi 		
usageExample:n2298.sg01.s99.u01		crimini obiicere	 Crimini objicere 	 dar em crime 	
usageExample:n2302.sg01.s99.u01		furti se obligare	 Furti se obligare 	 cometter furto 	
usageExample:n2312.sg01.s01.u01		obolet allium	 Obolet allium 	 cheira a alho 	
usageExample:n2312.sg01.s02.u01		marsupium oboluit furi	 Marsupium oboluit furi 	 a bolsa 	
usageExample:n2314.sg01.s99.u01		obrepsit ad honores	 Obrepsit ad honores 	 entrou em honras por hypocresia 	
usageExample:n2321.sg01.s99.u01		obseruare aliquem	 Observare aliquem 	 venerar , respeitar 	
usageExample:n2326.sg10.s01.u01		opsonare prandium, uel coenae	 Opsonare prandium , vel coenae 		
usageExample:n2326.sg10.s99.u01		opsonare famem ambulando	 Opsonare famem ambulando 		i, excitare, Cic, 5. Tuscul.
usageExample:n2329.sg01.s01.u01		donis aliquem sibi obstringere	 Donis aliquem sibi obstringere 		
usageExample:n2329.sg01.s01.u02		scelere se obstringere	 Scelere se obstringere 	 commetter maldade 	
usageExample:n2329.sg01.s01.u03		meam tibi obstringo fidem	 Meam tibi obstringo fidem 	 dou - vos minha palavra 	
usageExample:n2331.sg01.s99.u01		famae obtemperare	 Famae obtemperare 		i, consulere.
usageExample:n2332.sg01.s99.u01		mons monti obtenditur	 Mons monti obtenditur 		i, opponitur
usageExample:n2332.sg01.s99.u02		rationem uitiis obtendere	 rationem vitiis obtendere 	 capear , ou escusar os vicios 	
usageExample:n2334.sg01.s02.u01		obtrectare apparatum	 Obtrectare apparatum 		
usageExample:n2340.sg01.s01.u01		obuium se ferre alicui	 Obvium se ferre alicui 		
usageExample:n2340.sg01.s01.u02		obuium esse, uel fieri	 obvium esse , vel fieri 	 pôr - se ao encontro , ou tomar o passo 	
usageExample:n2340.sg01.s01.u03	apud Cic.	si egredienti cum armata multitudine obuius fueris	 Si egredienti cum armata multitudine obvius fueris 		
usageExample:n2340.sg01.s01.u04	Virg. de urbe loquens	et quae fuerit minùs obuia graiis	 Et quae fuerit minùs obvia Graiis 	 a qual esteja menos exposta aos Gregos ; ou a qual naõ encontrem os Gregos 	
usageExample:n2341.sg01.s99.u01		res occisa	 Res occisa 	 cousa , de que naõ ha , que esperar 	apud Plaut.
usageExample:n2342.sg01.s99.u01		ubi sol occidit	 ubi Sol occidit 	 onde se poem o Sol 	
usageExample:n2358.sg01.s02.u01		offendere caput ad parietem	 Offendere caput ad parietem 	 marrar com a cabeça na parede 	
usageExample:n2358.sg01.s04.u01		in multis offendimus	 In multis offendimus 	 em muitas cousas erramos , e cahimos em faltas 	
usageExample:n2358.sg01.s99.u01		offendere apud iudices	 Offendere apud judices 		i, condemnari, inquit Budaeus.
usageExample:n2360.sg01.s99.u01		religionem alicui offere	 Religionem alicui offere 	 meter escrupulo 	
usageExample:n2362.sg01.s99.u01		noctem, uel, tenebras rebus offundere	 Noctem , vel , tenebras rebus offundere 	 escurecer 	
usageExample:n2362.sg01.s99.u02		offundere errorem, & caliginem alicui	 offundere errorem , & caliginem alicui 	 cegar , fazendo errar 	
usageExample:n2363.sg01.s01.u01		oh, tibi ego ut credam!	 Oh , tibi ego ut credam ! 	 Oh , eu vos hei de crer a vós ! 	
usageExample:n2366.sg01.s01.u01		hic olet pastillos	 Hic olet pastillos 	 cheira a pastilhas 	
usageExample:n2366.sg01.s01.u02		loca olent sulphure	 Loca olent sulphure 	 cheiraõ a enxofre 	
usageExample:n2366.sg01.s01.u03		furi oluit aurum	 Furi oluit aurum 		
usageExample:n2366.sg01.s99.u01		tua supercilia olent mihi malitiam	 Tua supercilia olent mihi malitiam 	 cheiraõ - me a malicia vossas sobrancelhas , ou o gesto de vosso rosto 	
usageExample:n2367.sg01.s99.u01		oleum addere camino	 Oleum addere camino 	 fomentar o mal , accrescentalo 	
usageExample:n2379.sg01.s01.u01		onustum pectus laetitiâ	 Onustum pectus laetitiâ 		meliùs cum abl. quàm gen.
usageExample:n2386.sg01.s99.u01		summa ope niti	 Summa ope niti 		i, summa vi.
usageExample:n2395.sg01.s99.u01		opprimere os	 Opprimere os 	 fechar a bocca 	
usageExample:n2401.sg01.s01.u01		dux nobis opus est	 Dux nobis opus est 	 he - nos necessario capitaõ 	
usageExample:n2401.sg01.s01.u02		milites duci opus sunt	 milites duci opus sunt 	 saõ necessarios soldados ao capitaõ 	
usageExample:n2401.sg01.s02.u01		gratia, uel gratiae nobis opus est	 Gratia , vel gratiae nobis opus est 	 temos necessidade de graça 	
usageExample:n2401.sg01.s02.u02		praesidio opus est ad hanc urbem	 Praesidio opus est ad hanc urbem 		
usageExample:n2401.sg01.s02.u03		haec in eam rem opus erant	 haec in eam rem opus erant 		
usageExample:n2401.sg01.s02.u04		ita tibi opus est facto, uel facere	 Ita tibi opus est facto , vel facere 	 assim vos he necessario fazer 	
usageExample:n2401.sg01.s02.u05		hoc scitu opus est	 hoc scitu opus est 	 he necessario saber - se isto 	
usageExample:n2418.sg01.s99.u01		ornare conuiuium	 Ornare convivium 	 preparar , etc 	
usageExample:n2418.sg01.s99.u02		ornare fugam	 Ornare fugam 	 ordir fugida 	
usageExample:n2419.sg01.s02.u01		orare causam	 Orare causam 	 tratar , ou dizer 	
usageExample:n2431.sg01.s01.u01		studiorum otiosus	 Studiorum otiosus 		
usageExample:n2434.sg01.s01.u01		pacisci cum aliquo magna mercede	 Pacisci cum aliquo magna mercede 		
usageExample:n2434.sg01.s01.u02		pacisci de mercedibus	 pacisci de mercedibus 		
usageExample:n2434.sg01.s02.u01		inducias cum hoste pacisci	 Inducias cum hoste pacisci 		
usageExample:n2434.sg01.s02.u02		uitam pro laude pacisci	 vitam pro laude pacisci 		
usageExample:n2434.sg01.s02.u03		egi, sexte, tuam pactus duo millia causam	 Egi , Sexte , tuam pactus duo millia causam 		
usageExample:n2434.sg01.s03.u01		pretium praedonibus pro capite pacisci	 Pretium praedonibus pro capite pacisci 		
usageExample:n2434.sg01.s03.u02		turno pacta fuerat lauinia	 Turno pacta fuerat Lavinia 		
usageExample:n2434.sg01.s03.u03		praemia à candidatis pacta	 Praemia à candidatis pacta 		
usageExample:n2456.sg01.s99.u01		cibarius panis	 Cibarius panis 	 paõ de rala 	
usageExample:n2463.sg10.s99.u01		par referre	 Par referre 	 pagar na mesma moeda 	
usageExample:n2464.sg01.s99.u01		in sacris litteris	 In sacris litteris 	 o Paraiso terreal 	
usageExample:n2477.sg01.s99.u01		non sunt meae partes, uel mearum partium non est	 Non sunt meae partes , vel mearum partium non est 	 naõ he meu officio , ou obrigaçaõ 	
usageExample:n2480.sg01.s01.u01		bona cum amicis, uel in amicos partiri	 Bona cum amicis , vel in amicos partiri 		
usageExample:n2482.sg01.s01.u01		parum splendoris	 Parum splendoris 		
usageExample:n2483.sg01.s99.u01		parui	 Parvi 	 pouco , ou em pouco 	cum Interest. vel Refert, & verbis aestimandi.
usageExample:n2485.sg01.s01.u01		amenta per herbas pascebantur	 Amenta per herbas pascebantur 		
usageExample:n2485.sg01.s01.u02		ouis pasta est pratum	 Ovis pasta est pratum 	 a ovelha pasceo , ou comeo o prado 	
usageExample:n2485.sg10.s01.u01		pascere equos, capellas. & c	 Pascere equos , capellas . & c 		
usageExample:n2485.sg10.s01.u02		pascere equum herbâ	 Pascere equum herbâ 		
usageExample:n2485.sg10.s03.u01		pascere oculos picturâ, & c	 Pascere oculos picturâ , & c 		
usageExample:n2485.sg10.s03.u02		pasci bibliothecâ; discordiis, seditione	 Pasci bibliothecâ ; discordiis , seditione 	 recrear - se , ou deleitar - se com a livraria , com as discordias , etc 	
usageExample:n2485.sg20.s01.u01		iuuenci pascuntur syluas, uel in syluis, uel per syluas	 Juvenci pascuntur sylvas , vel in sylvis , vel per sylvas 		
usageExample:n2488.sg01.s99.u01		quatuor millia passuum	 quatuor millia passuum 	 huma legoa portugueza 	
usageExample:n2490.sg01.s99.u01		paterfamilias, uel familiae	 Paterfamilias , vel familiae 	 o pay de familias 	
usageExample:n2490.sg01.s99.u02		patres conscripti	 Patres Conscripti 	 Senadores Romanos 	
usageExample:n2490.sg01.s99.u03		paterpatratus	 Paterpatratus 	 o Prelado dos Sacerdotes Feciaes , o qual denunciava as guerras , e fazia concertos de paz 	
usageExample:n2491.sg20.s99.u01		uua passa	 uva passa 	 uva passada 	(vel passa solem Plin.) dicitur, | quia siccando solem passa est
usageExample:n2491.sg20.s99.u02		racemi passi	 Racemi passi 	 cachos passados , etc 	
usageExample:n2491.sg20.s99.u03		passum uinum	 Passum vinum 	 vinho de uvas passadas , ou arrôbe 	
usageExample:n2491.sg20.s99.u04		lac passum	 Lac passum 		apud Ovid.
usageExample:n2494.sg01.s99.u01		docere, uel respondere paucis	 Docere , vel respondere paucis 	 em poucas palavras 	id est, verbis
usageExample:n2499.sg01.s99.u01		pace tua	 Pace tua 	 com vossa licença 	
usageExample:n2506.sg01.s99.u01		oratio pedestris	 Oratio pedestris 	 prosa 	
usageExample:n2518.sg01.s99.u01		pendere animo, uel animi	 Pendere animo , vel animi 	 estar duvidoso com ansia 	
usageExample:n2518.sg01.s99.u02		pendere promissis, uel spe	 Pendere Promissis , vel spe 	 mover - se com as promessas , ou esperança 	
usageExample:n2518.sg01.s99.u03		pendent opera	 Pendent opera 	 paraõ as obras 	
usageExample:n2519.sg01.s01.u01		anulus pependit decem aureos	 Anulus pependit decem aureos 	 pesou o annel dez mil reis 	
usageExample:n2519.sg01.s99.u01		poenas, uel supplicia pendere	 Poenas , vel supplicia pendere 	 ser castigado 	
usageExample:n2519.sg01.s99.u02		causam ex ueritate pendere	 Causam ex veritate pendere 	 considerar , ponderar 	i, considerare
usageExample:n2521.sg01.s01.u01		penetrabile frigus, telum	 Penetrabile frigus , telum 		apud Virg. Mart.
usageExample:n2521.sg01.s02.u01		corpus nulli penetrabile telo	 Corpus nulli penetrabile telo 		Ovid. 12. Met.
usageExample:n2521.sg01.s02.u02		altitudo nullis spatiis penetrabilis	 Altitudo nullis spatiis penetrabilis 		Tacit. An. 2.
usageExample:n2521.sg01.s02.u03		nulli penetrabilis astro lucus	 Nulli penetrabilis astro Lucus 		Stat.
usageExample:n2523.sg01.s02.u01		per speciem	 Per speciem 	 debaixo da apparencia 	
usageExample:n2523.sg01.s02.u02		per tutelam	 Per tutelam 		i, sub praetextu tutelae.
usageExample:n2523.sg01.s03.u01		peracerbus, peramo	 Peracerbus , Peramo 		id est, valdè Acerbus, valdè Amo.
usageExample:n2523.sg01.s99.u01		fecit id per otium	 Fecit id per otium 	 a seu prazer 	
usageExample:n2523.sg01.s99.u02		per aetatem	 Per aetatem 	 conforme a idade 	
usageExample:n2549.sg01.s99.u01		permagno aestimare	 Permagno aestimare 	 estimar em muito grande preço 	
usageExample:n2549.sg01.s99.u02		permagni interest, uel refert	 Permagni interest , vel refert 	 importa em mui grande maneira 	
usageExample:n2551.sg01.s99.u01		permitto me tuae, uel in tuam fidẽ	 Permitto me tuae , vel in tuam fidẽ 	 ponho - me em vossas maõs 	
usageExample:n2561.sg01.s01.u01		ita mihi persuadeo	 Ita mihi persuadeo 	 assim me persuado , ou tenho para mim 	
usageExample:n2561.sg01.s01.u02		persuasum habeo	 persuasum habeo 	 tenho para mim 	
usageExample:n2562.sg01.s01.u01		pertaesum est assentationis	 Pertaesum est assentationis 		
usageExample:n2564.sg01.s01.u01		niues peruiae pugnantibus erant	 Nives perviae pugnantibus erant 		
usageExample:n2566.sg01.s01.u01		herum pessundabunt	 Herum pessundabunt 		Terent.
usageExample:n2568.sg01.s01.u01		petere aliquem iaculis, uel gladio	 Petere aliquem jaculis , vel gladio 		id est, invadere
usageExample:n2568.sg01.s01.u02		petere blanditiis	 Petere blanditiis 		i, blandiri
usageExample:n2568.sg01.s01.u03		petere oculis	 Petere oculis 		i, contemplari
usageExample:n2568.sg01.s01.u04		petere auribus	 Petere auribus 		i, audire, & c.
usageExample:n2568.sg01.s02.u01		quid petis istis?	 Quid petis istis ? 		Virg.
usageExample:n2585.sg01.s99.u01		serò sapiunt phryges	 Serò sapiunt Phryges 	 tarde lhe achastes o erro 	
usageExample:n2589.sg01.s01.u01		te facti pigebit	 Te facti pigebit 		
usageExample:n2591.sg01.s99.u01		serui ad pileum uocati	 servi ad pileum vocati 	 escravos forros 	
usageExample:n2592.sg10.s99.u01		id pili non facio	 id pili non facio 	 nenhum caso faço disso , naõ o estimo em hum cabelo 	
usageExample:n2601.sg01.s99.u01		placere sibi	 Placere sibi 	 jactar - se , gloriar - se , sentir de si altamente 	
usageExample:n2601.sg01.s99.u02		tu tibi places, ille sibi	 Tu tibi places , ille sibi 		
usageExample:n2604.sg01.s01.u01		fluctus plangunt saxa	 Fluctus plangunt saxa 	 as ondas batem nos penedos 	
usageExample:n2604.sg01.s01.u02		plangere pectora palmis	 Plangere pectora palmis 	 bater nos peitos 	
usageExample:n2604.sg01.s01.u03	apud Virg.	littora plangunt	 littora plangunt 		i, resonant.
usageExample:n2606.sg01.s01.u01		plaudere sibi, contentar-se	 Plaudere sibi , contentar - se 	 ou pagar - se muito de si , e de suas cousas 	
usageExample:n2606.sg01.s99.u01		plaudere choreas pedibus	 plaudere choreas pedibus 	 bailar 	
usageExample:n2608.sg01.s01.u01		capite aliquem plectere	 Capite aliquem plectere 	 castigar na vida , condenar á morte 	
usageExample:n2608.sg01.s02.u01		plectere orbes	 Plectere orbes 	 dar voltas & c 	
usageExample:n2608.sg01.s99.u01		plectere aliquem pugnis	 Plectere aliquem pugnis 	 dar punhadas 	
usageExample:n2611.sg01.s01.u01		plerique parthorum superbiam perosi, & c	 Plerique Parthorum superbiam perosi , & c 	 muitos , ou mais delles aborrecendo muito a soberba dos Parthos , etc 	
usageExample:n2611.sg01.s01.u02		plerique omnes	 Plerique omnes 	 todos pela mayor parte 	
usageExample:n2611.sg01.s01.u03		pleraque omnia	 Pleraque omnia 	 todas as cuosa pela mayor parte 	
usageExample:n2616.sg01.s99.u01		plus, minusue; plusue, minusuè; uel meliùs, plus minus	 Plus , minusve ; plusve , minusvè ; vel meliùs , Plus minus 	 pouco mais ou menos 	
usageExample:n2620.sg01.s99.u01		poenitet me hominis	 Poenitet me hominis 	 naõ faço muito caso delle 	i, non magni facio
usageExample:n2622.sg01.s99.u01		laudare utroque pollice	 Laudare utroque pollice 		id est, summo favore; nam pollex olim signum favoris erat.
usageExample:n2634.sg01.s01.u01		pondo uncia	 Pondo uncia 	 peso de huma onça 	
usageExample:n2637.sg01.s01.u01		ponere custodias portis, nomina rebus, modum orationi, & c	 Ponere custodias portis , nomina rebus , modum orationi , & c 		
usageExample:n2637.sg01.s99.u01	Apud Virg.	uenti posuere	 venti posuere 	 cessaraõ os ventos 	
usageExample:n2637.sg01.s99.u02		ponunt ferocia corda	 Ponunt ferocia corda 	 poem de parte 	i, deponunt
usageExample:n2637.sg01.s99.u03		pone eum esse uictum	 Pone eum esse victum 	 ponde caso , ou supponde , que foy vencido 	
usageExample:n2649.sg01.s99.u01		in portu esse, uel nauigare	 in portu esse , vel navigare 	 estar seguro 	
usageExample:n2651.sg01.s99.u01		clamore aliquem poscere	 Clamore aliquem poscere 	 ir clamando atraz de alguem , demandando - o por alguma cousa 	
usageExample:n2653.sg01.s99.u01		fieri potest	 fieri potest 	 he possivel 	interdum tacetur fieri, vel facere.
usageExample:n2654.sg01.s02.u01		paucis post diebus	 Paucis post diebus 	 poucos dias depois 	
usageExample:n2654.sg10.s01.u01		post hominum memoriam, uel post natos homines	 post hominum memoriam , vel post natos homines 	 depois que o mundo he mundo 	
usageExample:n2667.sg01.s99.u01		postulare aliquem criminis, uel de crimine	 Postulare aliquem criminis , vel de crimine 	 accusar 	
usageExample:n2670.sg01.s01.u01		honesta mors turpi uita potior est	 Honesta mors turpi vita potior est 		
usageExample:n2670.sg01.s02.u01		nihil mihi potius fuit, quàm, & c	 Nihil mihi potius fuit , quàm , & c 		
usageExample:n2671.sg01.s99.u01		potiri rerum	 Potiri rerum 	 ter o principado , imperio , governo de tudo 	
usageExample:n2674.sg01.s01.u01		prae cunctis	 Prae cunctis 	 ante todos , ou mais que todos 	
usageExample:n2674.sg01.s02.u01		prae gaudio, prae lacrymis	 Prae gaudio , prae lacrymis 	 por causa de alegria , ou por amor das lagrimas 	
usageExample:n2674.sg01.s03.u01		omnia nihil pendo prae uirtute	 Omnia nihil pendo prae virtute 	 tudo estimo em nada , tirando a virtude , ou em comparaçaõ da virtude 	
usageExample:n2674.sg01.s04.u01		prae manibus	 Prae manibus 	 nas maõs , ou entre maõs 	
usageExample:n2674.sg01.s99.u01		prae se ferre aliquid	 Prae se ferre aliquid 	 mostrar , ou significar alguma cousa com palavra , obra ou gesto 	
usageExample:n2676.sg01.s99.u01		praebere se facilem	 Praebere se facilem 		id est, acquiescere.
usageExample:n2677.sg01.s01.u01		praecauere insidias, uel ab insidiis	 Praecavere insidias , vel ab insidiis 		
usageExample:n2677.sg01.s01.u02		praecaue tibi	 Praecave tibi 		
usageExample:n2681.sg01.s01.u01		epulis praecinere	 Epulis praecinere 		
usageExample:n2682.sg01.s01.u01		praecipere gaudia, euentu, & c	 Praecipere gaudia , eventu , & c 		
usageExample:n2682.sg01.s03.u01		praecipere artem oratoriam, uel de arte	 Praecipere artem oratoriam , vel de arte 		
usageExample:n2684.sg01.s02.u01		aditum hosti praeclusimus	 Aditum hosti praeclusimus 		
usageExample:n2688.sg01.s01.u01		praeditus uirtute, studiis, artibus, & c	 Praeditus virtute , studiis , artibus , & c 		
usageExample:n2688.sg01.s02.u01		praeditus audaciâ, scelere, morbo, luctu	 Praeditus audaciâ , scelere , morbo , luctu 		
usageExample:n2690.sg01.s99.u01		praeferre facem alicui ad scelus	 praeferre facem alicui ad scelus 	 guiar para a maldade 	
usageExample:n2691.sg01.s01.u01		praeficere ducem exercitui	 Praeficere ducem exercitui 		
usageExample:n2692.sg01.s01.u01		praefinire diem debitori	 Praefinire diem debitori 		
usageExample:n2694.sg01.s01.u01		hic alios praegressus est	 Hic alios praegressus est 		
usageExample:n2695.sg01.s01.u01		hic omnibus praeluxit	 Hic omnibus praeluxit 		
usageExample:n2697.sg01.s01.u01		dux suis, non sibi praemetuit	 Dux suis , non sibi praemetuit 		
usageExample:n2702.sg01.s01.u01		uirtus semper soli praenituit	 Virtus semper Soli praenituit 		
